Social cost of carbon estimates from U.S. government November 2013 estimates.
Digitized from Figure 1 of revised TSD.

Distribution of SCC Estimates for 2020 (in 2007$ per metric ton CO2)

SCC	2.5pct	3pct	5pct
-15	0.08	0.20	0.20
-10	0.40	0.50	0.50
-5	0.90	1.40	4.40
0	1.80	3.30	19.80
5	4.40	8.30	25.10
10	5.90	9.40	23.00
15	6.20	10.00	12.50
20	6.90	10.20	5.70
25	7.20	9.50	2.20
30	7.00	8.10	1.00
35	6.70	6.60	0.70
40	6.10	5.30	0.50
45	5.30	4.30	0.40
50	4.80	3.30	0.30
55	4.20	2.80	0.20
60	3.50	2.10	0.30
65	3.10	1.70	0.20
70	2.60	1.30	0.10
75	2.20	1.10	0.10
80	1.90	0.90	0.10
85	1.70	0.70	0.10
90	1.40	0.40	0.06
95	1.20	0.40	0.07
100	1.10	0.40	0.07
105	1.00	0.30	0.04
110	0.80	0.20	0.05
115	0.70	0.20	0.09
120	0.70	0.20	0.06
125	0.60	0.20	0.06
130	0.40	0.20	0.10
135	0.40	0.10	0.06
140	0.30	0.20	0.04
145	0.30	0.10	0.05
150	0.30	0.20	0.07
155	0.30	0.10	-0.02
160	0.30	0.20	0.07
